,Time,Interval between heartbeats (s)
0,2022-07-21 09:18:38,0.469
1,2022-07-21 09:19:00,0.765
2,2022-07-21 09:19:01,0.862
3,2022-07-21 09:19:02,0.864
4,2022-07-21 09:19:03,0.879
5,2022-07-21 09:19:03,0.824
6,2022-07-21 09:19:04,0.797
7,2022-07-21 09:19:05,0.727
8,2022-07-21 09:19:06,0.723
9,2022-07-21 09:19:06,0.702
10,2022-07-21 09:19:07,0.742
11,2022-07-21 09:19:08,0.767
12,2022-07-21 09:19:09,0.711
13,2022-07-21 09:19:09,0.722
14,2022-07-21 09:19:10,0.731
15,2022-07-21 09:19:11,0.767
16,2022-07-21 09:19:12,0.828
17,2022-07-21 09:19:12,0.796
18,2022-07-21 09:19:13,0.801
19,2022-07-21 09:19:14,0.81
20,2022-07-21 09:19:15,0.771
21,2022-07-21 09:19:15,0.721
22,2022-07-21 09:19:16,0.688
23,2022-07-21 09:19:17,0.696
24,2022-07-21 09:19:18,0.732
25,2022-07-21 09:19:19,0.927
26,2022-07-21 09:19:20,1.069
27,2022-07-21 09:19:21,0.976
28,2022-07-21 09:19:22,0.955
29,2022-07-21 09:19:22,0.876
30,2022-07-21 09:19:23,0.8
31,2022-07-21 09:19:24,0.803
32,2022-07-21 09:19:25,0.827
33,2022-07-21 09:19:34,0.851
34,2022-07-21 09:19:34,0.855
35,2022-07-21 09:19:35,0.892
36,2022-07-21 09:19:36,0.948
37,2022-07-21 09:19:37,0.9
38,2022-07-21 09:19:38,0.907
39,2022-07-21 09:19:40,0.928
40,2022-07-21 09:19:40,0.949
41,2022-07-21 09:19:42,0.954
42,2022-07-21 09:19:42,0.917
43,2022-07-21 09:19:43,0.848
44,2022-07-21 09:19:43,0.795
45,2022-07-21 09:19:44,0.799
46,2022-07-21 09:19:45,0.82
47,2022-07-21 09:19:47,0.795
48,2022-07-21 09:19:47,0.846
49,2022-07-21 09:19:48,0.867
50,2022-07-21 09:19:48,0.894
51,2022-07-21 09:19:49,0.905
52,2022-07-21 09:19:51,0.864
53,2022-07-21 09:19:51,0.848
54,2022-07-21 09:19:53,0.769
55,2022-07-21 09:19:53,0.737
56,2022-07-21 09:19:53,0.765
57,2022-07-21 09:19:54,0.876
58,2022-07-21 09:19:55,1.101
59,2022-07-21 09:19:56,1.033
60,2022-07-21 09:19:57,0.942
61,2022-07-21 09:20:06,0.307
62,2022-07-21 09:20:06,0.439
63,2022-07-21 09:20:06,0.297
64,2022-07-21 09:20:07,0.427
65,2022-07-21 09:20:08,0.722
66,2022-07-21 09:20:08,0.733
67,2022-07-21 09:20:09,0.744
68,2022-07-21 09:20:10,0.886
69,2022-07-21 09:20:11,0.836
70,2022-07-21 09:20:12,0.857
71,2022-07-21 09:20:13,0.875
72,2022-07-21 09:20:13,0.887
73,2022-07-21 09:20:14,0.811
74,2022-07-21 09:20:15,0.772
75,2022-07-21 09:20:16,0.768
76,2022-07-21 09:20:17,0.783
77,2022-07-21 09:20:17,0.804
78,2022-07-21 09:20:19,0.773
79,2022-07-21 09:20:20,0.741
80,2022-07-21 09:20:21,0.706
81,2022-07-21 09:20:21,0.718
82,2022-07-21 09:20:21,0.759
83,2022-07-21 09:20:22,0.876
84,2022-07-21 09:20:23,0.931
85,2022-07-21 09:20:24,0.874
86,2022-07-21 09:20:26,0.787
87,2022-07-21 09:20:26,0.744
88,2022-07-21 09:20:26,0.715
89,2022-07-21 09:20:27,0.681
90,2022-07-21 09:20:27,0.691
91,2022-07-21 09:20:28,0.692
92,2022-07-21 09:20:29,0.805
93,2022-07-21 09:20:30,0.921
94,2022-07-21 09:20:31,0.959
95,2022-07-21 09:20:39,0.775
96,2022-07-21 09:20:39,0.766
97,2022-07-21 09:20:40,0.774
98,2022-07-21 09:20:41,0.786
99,2022-07-21 09:20:43,0.758
100,2022-07-21 09:20:43,0.753
101,2022-07-21 09:20:44,0.716
102,2022-07-21 09:20:44,0.715
103,2022-07-21 09:20:45,0.711
104,2022-07-21 09:20:45,0.715
105,2022-07-21 09:20:46,0.771
106,2022-07-21 09:20:47,0.865
107,2022-07-21 09:20:48,1.026
108,2022-07-21 09:20:49,0.828
109,2022-07-21 09:20:50,0.87
110,2022-07-21 09:20:50,0.257
111,2022-07-21 09:20:51,0.619
112,2022-07-21 09:20:51,0.874
113,2022-07-21 09:20:52,0.836
114,2022-07-21 09:20:53,0.817
115,2022-07-21 09:20:54,0.814
116,2022-07-21 09:20:55,0.867
117,2022-07-21 09:20:56,0.842
118,2022-07-21 09:20:56,0.796
119,2022-07-21 09:20:57,0.77
120,2022-07-21 09:20:58,0.734
121,2022-07-21 09:20:58,0.325
122,2022-07-21 09:20:59,0.399
123,2022-07-21 09:20:59,0.756
124,2022-07-21 09:21:00,0.961
125,2022-07-21 09:21:01,0.956
126,2022-07-21 09:21:02,0.875
127,2022-07-21 09:21:03,0.909
128,2022-07-21 09:21:03,0.38
129,2022-07-21 09:21:04,0.537
130,2022-07-21 09:21:15,0.813
131,2022-07-21 09:21:16,0.788
132,2022-07-21 09:21:16,0.837
133,2022-07-21 09:21:17,0.812
134,2022-07-21 09:21:18,0.828
135,2022-07-21 09:21:19,0.85
136,2022-07-21 09:21:20,0.853
137,2022-07-21 09:21:21,0.864
138,2022-07-21 09:21:21,0.829
139,2022-07-21 09:21:22,0.883
140,2022-07-21 09:21:23,0.945
141,2022-07-21 09:21:24,0.806
142,2022-07-21 09:21:25,0.763
143,2022-07-21 09:21:26,0.753
144,2022-07-21 09:21:26,0.73
145,2022-07-21 09:21:27,0.735
146,2022-07-21 09:21:28,0.724
147,2022-07-21 09:21:29,0.716
148,2022-07-21 09:21:29,0.714
149,2022-07-21 09:21:30,0.712
150,2022-07-21 09:21:31,0.718
151,2022-07-21 09:21:31,0.715
152,2022-07-21 09:21:32,0.738
153,2022-07-21 09:21:33,0.731
154,2022-07-21 09:21:34,0.725
155,2022-07-21 09:21:34,0.706
156,2022-07-21 09:21:35,0.71
157,2022-07-21 09:21:36,0.705
158,2022-07-21 09:21:36,0.697
159,2022-07-21 09:21:37,0.712
160,2022-07-21 09:21:38,0.746
161,2022-07-21 09:21:39,0.775
162,2022-07-21 09:21:39,0.806
163,2022-07-21 09:21:40,0.827
164,2022-07-21 09:21:48,0.822
165,2022-07-21 09:21:49,0.817
166,2022-07-21 09:21:50,0.789
167,2022-07-21 09:21:50,0.77
168,2022-07-21 09:21:51,0.755
169,2022-07-21 09:21:52,0.758
170,2022-07-21 09:21:53,0.763
171,2022-07-21 09:21:53,0.807
172,2022-07-21 09:21:54,0.88
173,2022-07-21 09:21:55,0.893
174,2022-07-21 09:21:56,0.873
175,2022-07-21 09:21:57,0.869
176,2022-07-21 09:21:58,0.848
177,2022-07-21 09:21:59,0.832
178,2022-07-21 09:21:59,0.812
179,2022-07-21 09:22:00,0.804
180,2022-07-21 09:22:01,0.787
181,2022-07-21 09:22:02,0.768
182,2022-07-21 09:22:03,0.749
183,2022-07-21 09:22:03,0.735
184,2022-07-21 09:22:04,0.745
185,2022-07-21 09:22:05,0.758
186,2022-07-21 09:22:06,0.791
187,2022-07-21 09:22:07,0.923
188,2022-07-21 09:22:07,0.977
189,2022-07-21 09:22:08,0.957
190,2022-07-21 09:22:09,0.905
191,2022-07-21 09:22:10,0.845
192,2022-07-21 09:22:11,0.828
193,2022-07-21 09:22:12,0.794
194,2022-07-21 09:22:13,0.773
195,2022-07-21 09:22:13,0.762
196,2022-07-21 09:22:21,0.88
197,2022-07-21 09:22:22,0.853
198,2022-07-21 09:22:23,0.828
199,2022-07-21 09:22:23,0.817
200,2022-07-21 09:22:24,0.809
201,2022-07-21 09:22:25,0.781
202,2022-07-21 09:22:26,0.814
203,2022-07-21 09:22:27,0.927
204,2022-07-21 09:22:28,0.888
205,2022-07-21 09:22:28,0.906
206,2022-07-21 09:22:29,0.966
207,2022-07-21 09:22:30,0.894
208,2022-07-21 09:22:31,0.9
209,2022-07-21 09:22:32,0.883
210,2022-07-21 09:22:33,0.858
211,2022-07-21 09:22:34,0.843
212,2022-07-21 09:22:35,0.856
213,2022-07-21 09:22:36,0.878
214,2022-07-21 09:22:36,0.849
215,2022-07-21 09:22:37,0.879
216,2022-07-21 09:22:38,0.859
217,2022-07-21 09:22:39,0.845
218,2022-07-21 09:22:40,0.84
219,2022-07-21 09:22:41,0.853
220,2022-07-21 09:22:42,0.844
221,2022-07-21 09:22:42,0.805
222,2022-07-21 09:22:43,0.791
223,2022-07-21 09:22:44,0.793
224,2022-07-21 09:22:45,0.781
225,2022-07-21 09:22:45,0.796
226,2022-07-21 09:22:46,0.809
227,2022-07-21 09:22:54,0.851
228,2022-07-21 09:22:55,0.857
229,2022-07-21 09:22:56,0.863
230,2022-07-21 09:22:57,0.848
231,2022-07-21 09:22:57,0.855
232,2022-07-21 09:22:58,0.88
233,2022-07-21 09:22:59,0.872
234,2022-07-21 09:23:00,0.89
235,2022-07-21 09:23:01,0.892
236,2022-07-21 09:23:02,0.867
237,2022-07-21 09:23:03,0.884
238,2022-07-21 09:23:04,0.879
239,2022-07-21 09:23:04,0.888
240,2022-07-21 09:23:05,0.9
241,2022-07-21 09:23:06,0.892
242,2022-07-21 09:23:07,0.879
243,2022-07-21 09:23:08,0.876
244,2022-07-21 09:23:09,0.86
245,2022-07-21 09:23:10,0.827
246,2022-07-21 09:23:11,0.806
247,2022-07-21 09:23:11,0.76
248,2022-07-21 09:23:12,0.788
249,2022-07-21 09:23:13,0.874
250,2022-07-21 09:23:14,0.961
251,2022-07-21 09:23:15,0.961
252,2022-07-21 09:23:16,0.949
253,2022-07-21 09:23:17,0.913
254,2022-07-21 09:23:18,0.875
255,2022-07-21 09:23:18,0.86
256,2022-07-21 09:23:19,0.824
257,2022-07-21 09:23:30,0.84
258,2022-07-21 09:23:31,0.841
259,2022-07-21 09:23:32,0.817
260,2022-07-21 09:23:33,0.801
261,2022-07-21 09:23:33,0.778
262,2022-07-21 09:23:34,0.765
263,2022-07-21 09:23:35,0.785
264,2022-07-21 09:23:36,0.873
265,2022-07-21 09:23:37,0.931
266,2022-07-21 09:23:38,0.921
267,2022-07-21 09:23:38,0.891
268,2022-07-21 09:23:39,0.821
269,2022-07-21 09:23:40,0.807
270,2022-07-21 09:23:41,0.8
271,2022-07-21 09:23:42,0.803
272,2022-07-21 09:23:43,0.804
273,2022-07-21 09:23:43,0.813
274,2022-07-21 09:23:44,0.85
275,2022-07-21 09:23:45,0.902
276,2022-07-21 09:23:46,0.888
277,2022-07-21 09:23:47,0.846
278,2022-07-21 09:23:48,0.836
279,2022-07-21 09:23:48,0.82
280,2022-07-21 09:23:49,0.787
281,2022-07-21 09:23:50,0.75
282,2022-07-21 09:23:51,0.759
283,2022-07-21 09:23:52,0.769
284,2022-07-21 09:23:52,0.771
285,2022-07-21 09:23:53,0.753
286,2022-07-21 09:23:54,0.761
287,2022-07-21 09:23:55,0.783
288,2022-07-21 09:23:55,0.788
289,2022-07-21 09:24:03,0.87
290,2022-07-21 09:24:04,0.859
291,2022-07-21 09:24:05,0.869
292,2022-07-21 09:24:05,0.849
293,2022-07-21 09:24:06,0.826
294,2022-07-21 09:24:07,0.839
295,2022-07-21 09:24:08,0.853
296,2022-07-21 09:24:09,0.896
297,2022-07-21 09:24:10,0.906
298,2022-07-21 09:24:11,0.937
299,2022-07-21 09:24:12,0.942
300,2022-07-21 09:24:13,0.931
301,2022-07-21 09:24:13,0.908
302,2022-07-21 09:24:14,0.894
303,2022-07-21 09:24:15,0.927
304,2022-07-21 09:24:16,0.959
305,2022-07-21 09:24:17,0.993
306,2022-07-21 09:24:18,1.046
307,2022-07-21 09:24:19,1.026
308,2022-07-21 09:24:20,0.978
309,2022-07-21 09:24:21,0.975
310,2022-07-21 09:24:22,0.992
311,2022-07-21 09:24:23,0.993
312,2022-07-21 09:24:24,0.938
313,2022-07-21 09:24:25,0.997
314,2022-07-21 09:24:26,1.032
315,2022-07-21 09:24:27,0.981
316,2022-07-21 09:24:28,0.952
317,2022-07-21 09:24:36,1.135
318,2022-07-21 09:24:37,1.046
319,2022-07-21 09:24:38,0.986
320,2022-07-21 09:24:39,0.958
321,2022-07-21 09:24:40,0.971
322,2022-07-21 09:24:41,0.96
323,2022-07-21 09:24:42,0.967
324,2022-07-21 09:24:43,0.981
325,2022-07-21 09:24:44,1.008
326,2022-07-21 09:24:45,1.061
327,2022-07-21 09:24:46,1.007
328,2022-07-21 09:24:47,0.955
329,2022-07-21 09:24:48,0.955
330,2022-07-21 09:24:49,0.948
331,2022-07-21 09:24:49,0.908
332,2022-07-21 09:24:50,0.902
333,2022-07-21 09:24:51,0.89
334,2022-07-21 09:24:52,0.936
335,2022-07-21 09:24:53,0.979
336,2022-07-21 09:24:54,0.988
337,2022-07-21 09:24:55,0.925
338,2022-07-21 09:24:56,0.896
339,2022-07-21 09:24:57,0.879
340,2022-07-21 09:24:58,0.883
341,2022-07-21 09:24:59,0.932
342,2022-07-21 09:25:00,0.978
343,2022-07-21 09:25:01,0.963
344,2022-07-21 09:25:10,0.968
345,2022-07-21 09:25:11,0.979
346,2022-07-21 09:25:12,0.951
347,2022-07-21 09:25:13,0.918
348,2022-07-21 09:25:14,0.9
349,2022-07-21 09:25:14,0.88
350,2022-07-21 09:25:15,0.877
351,2022-07-21 09:25:16,0.932
352,2022-07-21 09:25:17,0.938
353,2022-07-21 09:25:18,0.958
354,2022-07-21 09:25:19,0.993
355,2022-07-21 09:25:20,1.005
356,2022-07-21 09:25:21,0.973
357,2022-07-21 09:25:22,0.975
358,2022-07-21 09:25:23,0.977
359,2022-07-21 09:25:24,0.963
360,2022-07-21 09:25:25,0.928
361,2022-07-21 09:25:26,0.932
362,2022-07-21 09:25:27,0.919
363,2022-07-21 09:25:28,0.942
364,2022-07-21 09:25:29,0.944
365,2022-07-21 09:25:30,0.941
366,2022-07-21 09:25:31,0.92
367,2022-07-21 09:25:31,0.887
368,2022-07-21 09:25:32,0.834
369,2022-07-21 09:25:33,0.828
370,2022-07-21 09:25:34,0.837
371,2022-07-21 09:25:42,0.759
372,2022-07-21 09:25:43,0.785
373,2022-07-21 09:25:43,0.846
374,2022-07-21 09:25:44,0.922
375,2022-07-21 09:25:45,0.952
376,2022-07-21 09:25:46,0.915
377,2022-07-21 09:25:47,0.906
378,2022-07-21 09:25:48,0.865
379,2022-07-21 09:25:49,0.872
380,2022-07-21 09:25:50,0.89
381,2022-07-21 09:25:51,0.918
382,2022-07-21 09:25:52,0.919
383,2022-07-21 09:25:52,0.907
384,2022-07-21 09:25:53,0.968
385,2022-07-21 09:25:54,0.949
386,2022-07-21 09:25:55,0.898
387,2022-07-21 09:25:56,0.889
388,2022-07-21 09:25:57,0.899
389,2022-07-21 09:25:58,0.896
390,2022-07-21 09:25:59,0.957
391,2022-07-21 09:26:00,0.998
392,2022-07-21 09:26:01,0.979
393,2022-07-21 09:26:02,0.957
394,2022-07-21 09:26:03,0.963
395,2022-07-21 09:26:04,0.958
396,2022-07-21 09:26:05,0.969
397,2022-07-21 09:26:06,0.96
398,2022-07-21 09:26:07,0.987
399,2022-07-21 09:26:15,0.913
400,2022-07-21 09:26:16,0.866
401,2022-07-21 09:26:16,0.81
402,2022-07-21 09:26:17,0.836
403,2022-07-21 09:26:18,0.992
404,2022-07-21 09:26:19,1.03
405,2022-07-21 09:26:20,0.994
406,2022-07-21 09:26:21,0.98
407,2022-07-21 09:26:22,0.908
408,2022-07-21 09:26:23,0.89
409,2022-07-21 09:26:24,0.909
410,2022-07-21 09:26:25,0.927
411,2022-07-21 09:26:26,0.917
412,2022-07-21 09:26:27,0.939
413,2022-07-21 09:26:28,1.04
414,2022-07-21 09:26:29,1.036
415,2022-07-21 09:26:30,0.981
416,2022-07-21 09:26:31,0.934
417,2022-07-21 09:26:32,0.886
418,2022-07-21 09:26:33,0.91
419,2022-07-21 09:26:34,0.96
420,2022-07-21 09:26:34,0.917
421,2022-07-21 09:26:35,0.892
422,2022-07-21 09:26:36,0.938
423,2022-07-21 09:26:37,0.903
424,2022-07-21 09:26:38,0.862
425,2022-07-21 09:26:39,0.889
426,2022-07-21 09:26:40,0.896
427,2022-07-21 09:26:48,1.033
428,2022-07-21 09:26:49,0.979
429,2022-07-21 09:26:50,0.904
430,2022-07-21 09:26:50,0.899
431,2022-07-21 09:26:51,0.962
432,2022-07-21 09:26:52,0.968
433,2022-07-21 09:26:53,1.056
434,2022-07-21 09:26:55,1.116
435,2022-07-21 09:26:56,1.077
436,2022-07-21 09:26:57,1.032
437,2022-07-21 09:26:58,0.995
438,2022-07-21 09:26:59,0.989
439,2022-07-21 09:27:00,0.985
440,2022-07-21 09:27:01,0.913
441,2022-07-21 09:27:01,0.91
442,2022-07-21 09:27:02,0.841
443,2022-07-21 09:27:03,0.81
444,2022-07-21 09:27:04,0.809
445,2022-07-21 09:27:05,0.856
446,2022-07-21 09:27:06,0.932
447,2022-07-21 09:27:07,0.941
448,2022-07-21 09:27:08,0.967
449,2022-07-21 09:27:09,0.994
450,2022-07-21 09:27:10,1.028
