,Time,Interval between heartbeats (s)
0,2022-07-21 09:12:08,0.809
1,2022-07-21 09:12:08,0.806
2,2022-07-21 09:12:09,0.831
3,2022-07-21 09:12:10,0.854
4,2022-07-21 09:12:11,0.885
5,2022-07-21 09:12:12,0.881
6,2022-07-21 09:12:13,0.919
7,2022-07-21 09:12:14,0.935
8,2022-07-21 09:12:15,0.914
9,2022-07-21 09:12:15,0.92
10,2022-07-21 09:12:16,0.924
11,2022-07-21 09:12:17,0.877
12,2022-07-21 09:12:18,0.818
13,2022-07-21 09:12:19,0.818
14,2022-07-21 09:12:20,0.82
15,2022-07-21 09:12:21,0.775
16,2022-07-21 09:12:21,0.799
17,2022-07-21 09:12:22,0.789
18,2022-07-21 09:12:23,0.788
19,2022-07-21 09:12:24,0.81
20,2022-07-21 09:12:24,0.787
21,2022-07-21 09:12:25,0.832
22,2022-07-21 09:12:26,0.853
23,2022-07-21 09:12:27,0.891
24,2022-07-21 09:12:28,0.914
25,2022-07-21 09:12:29,0.957
26,2022-07-21 09:12:30,0.932
27,2022-07-21 09:12:31,0.945
28,2022-07-21 09:12:32,0.933
29,2022-07-21 09:12:33,0.916
30,2022-07-21 09:12:41,0.882
31,2022-07-21 09:12:42,0.898
32,2022-07-21 09:12:43,0.924
33,2022-07-21 09:12:43,0.874
34,2022-07-21 09:12:44,0.888
35,2022-07-21 09:12:45,0.9
36,2022-07-21 09:12:46,0.875
37,2022-07-21 09:12:47,0.886
38,2022-07-21 09:12:48,0.866
39,2022-07-21 09:12:49,0.872
40,2022-07-21 09:12:50,0.893
41,2022-07-21 09:12:50,0.875
42,2022-07-21 09:12:51,0.885
43,2022-07-21 09:12:52,0.886
44,2022-07-21 09:12:53,0.907
45,2022-07-21 09:12:54,0.914
46,2022-07-21 09:12:55,0.945
47,2022-07-21 09:12:56,0.894
48,2022-07-21 09:12:57,0.91
49,2022-07-21 09:12:58,0.933
50,2022-07-21 09:12:59,0.879
51,2022-07-21 09:13:00,0.933
52,2022-07-21 09:13:00,0.871
53,2022-07-21 09:13:01,0.926
54,2022-07-21 09:13:02,0.867
55,2022-07-21 09:13:03,0.896
56,2022-07-21 09:13:04,0.884
57,2022-07-21 09:13:05,0.881
58,2022-07-21 09:13:06,0.899
59,2022-07-21 09:13:14,0.899
60,2022-07-21 09:13:15,0.899
61,2022-07-21 09:13:16,0.921
62,2022-07-21 09:13:17,0.914
63,2022-07-21 09:13:18,0.958
64,2022-07-21 09:13:19,0.902
65,2022-07-21 09:13:20,0.97
66,2022-07-21 09:13:20,0.893
67,2022-07-21 09:13:21,0.969
68,2022-07-21 09:13:22,0.928
69,2022-07-21 09:13:23,0.855
70,2022-07-21 09:13:24,0.984
71,2022-07-21 09:13:25,0.951
72,2022-07-21 09:13:26,0.948
73,2022-07-21 09:13:27,0.962
74,2022-07-21 09:13:28,0.969
75,2022-07-21 09:13:29,0.962
76,2022-07-21 09:13:30,0.947
77,2022-07-21 09:13:31,0.82
78,2022-07-21 09:13:32,0.965
79,2022-07-21 09:13:33,0.874
80,2022-07-21 09:13:34,0.956
81,2022-07-21 09:13:34,0.876
82,2022-07-21 09:13:35,0.958
83,2022-07-21 09:13:36,0.872
84,2022-07-21 09:13:37,0.958
85,2022-07-21 09:13:38,0.861
